UserAccountId,CertificateDegree,Major,University
UA000001,Bachelor,STATISTICIANS,"Ecole des Hautes Etudes Industrielles de Lille"
UA000002,Master,"ARCHITECTURE TEACHERS, POSTSECONDARY","Kahramanmaras Sütcü Imam University"
UA000003,Master,PHYSICISTS,"Karolinska Institute Stockholm"
UA000004,Bachelor,"GEOSCIENTISTS, EXCEPT HYDROLOGISTS AND GEOGRAPHERS","Caleb University"
UA000005,Bachelor,"MATERIALS ENGINEERS","Universidad del Quindío"
UA000006,Doctor,"MEETING, CONVENTION, AND EVENT PLANNERS","Georgia Southwestern University"
UA000007,Bachelor,"COMPUTER PROGRAMMERS","Midland Lutheran College"
UA000008,Bachelor,"COMPUTER PROGRAMMERS","Institut National de la Recherche Scientifique, Université du Québec"
UA000009,Master,"COMPUTER SYSTEMS ANALYSTS","Lucerne University of Applied Sciences and Arts "
UA000010,Bachelor,"GRAPHIC DESIGNERS","Gediz University"
UA000011,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Isfahan University of Medical Sciences"
UA000012,Master,"BIOLOGICAL SCIENTISTS, ALL OTHER","Tansian University"
UA000013,Doctor,"ELECTRICAL ENGINEERS","Sathyabama University"
UA000014,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Mindanao State University - Iligan Institute of Technology"
UA000015,Bachelor,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS","Philosophisch-Theologische Hochschule Sankt Georgen"
UA000016,Master,"COMMERCIAL AND INDUSTRIAL DESIGNERS","Chongqing University of Communications"
UA000017,Master,"ACCOUNTANTS AND AUDITORS","Colegio de San Juan de Letran"
UA000018,Bachelor,"COMMERCIAL AND INDUSTRIAL DESIGNERS","Kaplan University"
UA000019,Bachelor,"MECHANICAL ENGINEERS","Middle East University"
UA000020,Doctor,"FINANCIAL ANALYSTS","Universidad del Azuay"
UA000021,Bachelor,"BIOLOGICAL TECHNICIANS","Ural State Academy of Architecture and Arts"
UA000022,Bachelor,"BIOLOGICAL SCIENTISTS, ALL OTHER","Toccoa Falls College"
UA000023,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Beijing Forestry University"
UA000024,Bachelor,"FOREIGN LANGUAGE AND LITERATURE TEACHERS,","Free University Amsterdam"
UA000025,Master,STATISTICIANS,"Universidad Nacional de Formosa"
UA000026,Master,"LIFE SCIENTISTS, ALL OTHER","University of Winnipeg"
UA000027,Doctor,"MEDICAL AND HEALTH SERVICES MANAGERS","Technical University of Varna"
UA000028,Doctor,"BIOLOGICAL SCIENTISTS, ALL OTHER","Universidad Carlos III de Madrid"
UA000029,Bachelor,"BIOLOGICAL SCIENTISTS, ALL OTHER","Fachhochschule für Technik und Wirtschaft Berlin"
UA000030,Bachelor,"HEALTH SPECIALTIES TEACHERS, POSTSECONDARY","Universidad Cristóbal Colón"
UA000031,Master,"MARKETING MANAGERS","Campbellsville College"
UA000032,Master,"BIOLOGICAL SCIENTISTS, ALL OTHER","University of Sadat City"
UA000033,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","KBU International College"
UA000034,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Universidad de Murcia"
UA000035,Doctor,"COMPUTER OCCUPATIONS, ALL OTHER","State University of New York at Oswego"
UA000036,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Wawasan Open University"
UA000037,Bachelor,"WEB DEVELOPERS","Kiriri Womens University of Science and Technology"
UA000038,Master,"COMPUTER OCCUPATIONS, ALL OTHER","John Paul the Great Catholic University"
UA000039,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Pukyong National University"
UA000040,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Sotheby´s Institute of Art - London"
UA000041,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Fachhochschule Frankfurt am Main"
UA000042,Doctor,"MANAGEMENT ANALYSTS","University "Titu Maiorescu" "
UA000043,Doctor,"COMPUTER OCCUPATIONS, ALL OTHER","Aomori University"
UA000044,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","University of Hawaii - Hilo"
