UserAccountId,IsWorking,StartDate,EndDate,JobTitle,FullTime,CompanyName,WorkSiteCity,WorkSiteState,WorkSiteCountry,WorkSitePostCode,Description
UA000001,Y,2015-11-15,2017-11-14,"POSTDOCTORAL ASSOCIATE",Y,"MASSACHUSETTS INSTITUTE OF TECHNOLOGY",CAMBRIDGE,MA,NULL,2139,STATISTICIANS
UA000002,N,2016-09-01,2019-08-31,"ASSISTANT PROFESSOR",Y,"MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)",CAMBRIDGE,MA,NULL,2139,"ARCHITECTURE TEACHERS, POSTSECONDARY"
UA000003,Y,2016-12-01,2017-11-30,"POSTDOCTORAL ASSOCIATE",Y,"MASSACHUSETTS INSTITUTE OF TECHNOLOGY",CAMBRIDGE,MA,NULL,2139,PHYSICISTS
UA000004,Y,2017-02-01,2018-01-31,"RESEARCH SCIENTIST",Y,"MASSACHUSETTS INSTITUTE OF TECHNOLOGY",CAMBRIDGE,MA,NULL,2139,"GEOSCIENTISTS, EXCEPT HYDROLOGISTS AND GEOGRAPHERS"
UA000005,N,2017-06-01,2018-05-31,"POSTDOCTORAL ASSOCIATE",Y,"MASSACHUSETTS INSTITUTE OF TECHNOLOGY",CAMBRIDGE,MA,NULL,2139,"MATERIALS ENGINEERS"
UA000006,Y,2017-09-08,2020-09-08,"EVENTS AND INCENTIVES COORDINATOR",Y,"PARK VIEW TRAVEL BEVERLY HILLS, LLC","BEVERLY HILLS",CA,NULL,90210,"MEETING, CONVENTION, AND EVENT PLANNERS"
UA000007,N,2017-10-16,2018-11-30,"SENIOR DEVELOPER",Y,"IBM INDIA PRIVATE LIMITED","DOWNERS GROVE",IL,NULL,60515,"COMPUTER PROGRAMMERS"
UA000008,N,2017-11-01,2018-12-12,"SENIOR SOFTWARE ENGINEER",Y,"IBM INDIA PRIVATE LIMITED","WHITEHOUSE STATION",NJ,NULL,8889,"COMPUTER PROGRAMMERS"
UA000009,N,2017-10-04,2019-10-03,"COMPUTER SYSTEMS ANALYST",Y,"BTREE SOLUTIONS INC",COLUMBUS,OH,NULL,43214,"COMPUTER SYSTEMS ANALYSTS"
UA000010,N,2018-01-01,2020-12-31,"GRAPHIC ARTIST",Y,"YOUNIS ART STUDIO, INC,",SAIPAN,MP,NULL,96950,"GRAPHIC DESIGNERS"
UA000011,N,2014-11-01,2017-10-31,ASSOCIATE,Y,"WALTER ASSOCIATES, INCORPORATED",SALINE,MI,NULL,480176,"SOFTWARE DEVELOPERS, APPLICATIONS"
UA000012,Y,2015-02-01,2018-01-31,"ASSOCIATE RESEARCH SCIENTIST",Y,"COLUMBIA UNIVERSITY","NEW YORK",NY,NULL,10032,"BIOLOGICAL SCIENTISTS, ALL OTHER"
UA000013,Y,2015-10-01,2018-09-30,"ELECTRICAL DESIGN ENGINEER",Y,"CREST ELECTRONICS, INC.",DASSEL,MN,NULL,55325,"ELECTRICAL ENGINEERS"
UA000014,Y,2017-10-10,2020-10-09,"SOFTWARE DEVELOPER",Y,"HORIZONSOFTSOLUTIONS, INC","LAKE FOREST",IL,NULL,60045,"SOFTWARE DEVELOPERS, APPLICATIONS"
UA000015,N,2015-04-01,2018-03-31,"ASSISTANT PROFESSOR",Y,"THE UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER",MEMPHIS,TN,NULL,38163,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS"
UA000016,Y,2015-09-17,2018-09-16,"VISUAL DESIGNER",Y,"NOKIA USA INC.",SUNNYVALE,CA,NULL,94086,"COMMERCIAL AND INDUSTRIAL DESIGNERS"
UA000017,N,2015-09-15,2018-09-14,"POLICY ANALYST",Y,"TRAC RISK AND INSURANCE SERVICES LLC.","ALISO VIEJO",CA,NULL,92656,"ACCOUNTANTS AND AUDITORS"
