JobApplyActivityId,JobId,UserAccountId,ApplyDate
1,554,UA005179,2018-09-08
2,6206,UA001168,2018-07-01
3,4711,UA002628,2018-05-26
4,5360,UA002002,2018-06-19
5,5132,UA008106,2018-06-02
6,11230,UA003279,2018-07-21
7,20664,UA003293,2018-09-27
8,1886,UA003558,2018-06-13
9,16980,UA004233,2018-09-11
10,1429,UA000265,2018-07-14
11,10996,UA005715,2018-09-16
12,11232,UA003240,2018-08-14
13,11819,UA009952,2018-06-30
14,9306,UA009240,2018-05-27
15,20155,UA009299,2018-07-01
16,843,UA004968,2018-06-20
17,5734,UA009991,2018-05-14
18,2025,UA006958,2018-06-18
19,18660,UA008728,2018-08-07
20,21224,UA001490,2018-09-08
21,14303,UA003505,2018-07-30
22,10550,UA009064,2018-06-12
23,17142,UA002153,2018-09-06
24,694,UA000781,2018-09-17
25,14980,UA006546,2018-05-13
26,9124,UA008979,2018-09-02
27,11199,UA009081,2018-08-29
28,20317,UA002186,2018-05-26
29,8588,UA002654,2018-06-06
30,2104,UA000238,2018-06-07
31,14248,UA003433,2018-05-03
32,14176,UA001465,2018-08-16
33,15571,UA003163,2018-07-23
34,15675,UA010157,2018-07-12
35,12546,UA005344,2018-07-10
36,11615,UA001080,2018-07-07
37,18398,UA007267,2018-05-20
38,6872,UA002289,2018-05-10
39,18651,UA009034,2018-06-22
40,16971,UA006984,2018-07-14
41,17387,UA006414,2018-05-15
42,10367,UA010038,2018-07-24
43,907,UA002827,2018-06-04
44,18398,UA004410,2018-07-25
45,14155,UA000319,2018-06-25
46,17748,UA007173,2018-07-03
47,6213,UA007572,2018-07-19
48,1743,UA003066,2018-08-18
49,4346,UA006864,2018-07-01
50,21134,UA005818,2018-09-26
51,4207,UA010086,2018-09-06
52,1254,UA005493,2018-07-08
53,3755,UA009753,2018-07-18
54,11189,UA008047,2018-05-08
55,3584,UA005215,2018-05-20
56,16939,UA002833,2018-07-28
57,5280,UA001079,2018-09-10
58,10646,UA000654,2018-05-29
59,2035,UA002985,2018-08-19
60,373,UA007942,2018-05-03
61,14130,UA000076,2018-07-23
62,7306,UA003495,2018-05-15
63,7313,UA009376,2018-06-17
64,21812,UA004599,2018-07-06
65,18893,UA006283,2018-05-09
66,14542,UA002412,2018-09-04
67,1716,UA006871,2018-07-25
68,2368,UA002706,2018-05-25
69,21708,UA008130,2018-05-13
70,2178,UA003920,2018-06-05
71,16966,UA004256,2018-05-03
72,14735,UA010162,2018-07-21
73,6368,UA006265,2018-08-14
74,18496,UA004184,2018-05-18
75,8389,UA007888,2018-09-25
