JobPostSkillSetId,JobId,SkillSetId,SkillLevel
1,18054,1646,I
2,1514,2407,II
3,5215,4416,III
4,8680,2698,II
5,6648,5863,I
6,12996,3365,II
7,13086,5642,III
8,3502,3316,II
9,12682,5236,I
10,315,5383,II
11,7944,1371,III
12,194,3159,II
13,7223,234,I
14,18276,1975,II
15,11298,5481,III
16,13403,829,II
17,11598,560,I
18,12434,4569,II
19,10731,4383,III
20,20123,1509,II
21,3663,1224,I
22,6916,4897,II
23,18394,579,III
24,11148,4899,II
25,20458,5290,I
26,9167,3533,II
27,19681,5188,III
28,13104,2774,II
29,7079,2304,I
30,17858,2706,II
31,21502,3541,III
32,517,323,II
33,15984,4028,I
34,5872,5152,II
35,3672,2781,III
36,21692,4563,II
37,18231,5364,I
38,20804,4676,II
39,3529,3664,III
40,10918,5017,II
41,20422,886,I
42,17255,5988,II
43,2365,632,III
44,9619,1924,II
45,10344,1736,I
46,2224,2209,II
47,20307,372,III
48,14262,1519,II
49,20696,4064,I
50,5679,3171,II
51,20391,3833,III
52,18548,5315,II
53,8297,5487,I
54,19481,2728,II
55,16713,5280,III
56,17980,5441,II
57,247,1377,I
58,9355,1140,II
59,17793,4342,III
60,1112,4244,II
61,6703,719,I
62,7136,3679,II
63,849,5187,III
64,20633,1889,II
65,15274,1165,I
66,2751,3683,II
67,3888,3220,III
68,21454,1763,II
69,3880,1388,I
70,15913,5646,II
71,20503,3285,III
72,21226,4980,II
73,5426,1052,I
74,5530,864,II
75,14271,1948,III
76,279,75,II
77,16905,5021,I
78,11186,224,II
79,8636,1471,III
80,1398,1086,II
81,20465,2804,I
82,13593,529,II
83,1192,3482,III
84,5895,5213,II
85,12341,4893,I
86,12504,1321,II
87,923,4639,III
88,5263,641,II
89,17846,3652,I
90,8153,4072,II
91,19721,2254,III
92,3925,1628,II
93,10806,3909,I
94,1658,2037,II
95,11497,2844,III
96,16919,4516,II
97,8936,860,I
98,21311,4830,II
99,16355,1565,III
100,16269,3519,II
101,14756,3958,I
102,20158,5049,II
103,15215,5325,III
104,4818,4228,II
105,656,2605,I
106,9221,605,II
107,19702,4457,III
108,1645,672,II
109,1742,5616,I
110,15033,1254,II
111,2636,160,III
