UserAccountId,Industry,CurrentSalary,SalaryUnit,Resume
UA000001,STATISTICIANS,"58,032.00",Year,NULL
UA000002,"ARCHITECTURE TEACHERS, POSTSECONDARY","95,600.00",Year,NULL
UA000003,PHYSICISTS,"60,400.00",Year,NULL
UA000004,"GEOSCIENTISTS, EXCEPT HYDROLOGISTS AND GEOGRAPHERS","65,000.00",Year,NULL
UA000005,"MATERIALS ENGINEERS","49,383.00",Year,NULL
UA000006,"MEETING, CONVENTION, AND EVENT PLANNERS","45,200.00",Year,NULL
UA000007,"COMPUTER PROGRAMMERS","81,837.00",Year,NULL
UA000008,"COMPUTER PROGRAMMERS","81,499.00",Year,NULL
UA000009,"COMPUTER SYSTEMS ANALYSTS","76,000.00",Year,NULL
UA000010,"GRAPHIC DESIGNERS",8.24,Hour,NULL
UA000011,"SOFTWARE DEVELOPERS, APPLICATIONS","88,381.32",Year,NULL
UA000012,"BIOLOGICAL SCIENTISTS, ALL OTHER","53,000.00",Year,NULL
UA000013,"ELECTRICAL ENGINEERS","61,347.00",Year,NULL
UA000014,"SOFTWARE DEVELOPERS, APPLICATIONS","104,000.00",Year,NULL
UA000015,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS","115,000.00",Year,NULL
UA000016,"COMMERCIAL AND INDUSTRIAL DESIGNERS","110,000.00",Year,NULL
UA000017,"ACCOUNTANTS AND AUDITORS","48,610.00",Year,NULL
UA000018,"COMMERCIAL AND INDUSTRIAL DESIGNERS","89,740.00",Year,NULL
UA000019,"MECHANICAL ENGINEERS","65,000.00",Year,NULL
UA000020,"FINANCIAL ANALYSTS","50,086.00",Year,NULL
UA000021,"BIOLOGICAL TECHNICIANS","43,000.00",Year,NULL
UA000022,"BIOLOGICAL SCIENTISTS, ALL OTHER","50,059.00",Year,NULL
UA000023,"COMPUTER OCCUPATIONS, ALL OTHER","84,843.00",Year,NULL
UA000024,"FOREIGN LANGUAGE AND LITERATURE TEACHERS,","62,500.00",Year,NULL
UA000025,STATISTICIANS,"81,120.00",Year,NULL
UA000026,"LIFE SCIENTISTS, ALL OTHER","49,419.05",Year,NULL
UA000027,"MEDICAL AND HEALTH SERVICES MANAGERS","140,000.00",Year,NULL
UA000028,"BIOLOGICAL SCIENTISTS, ALL OTHER","47,244.00",Year,NULL
UA000029,"BIOLOGICAL SCIENTISTS, ALL OTHER","46,000.00",Year,NULL
UA000030,"HEALTH SPECIALTIES TEACHERS, POSTSECONDARY","160,000.00",Year,NULL
UA000031,"MARKETING MANAGERS","110,074.00",Year,NULL
UA000032,"BIOLOGICAL SCIENTISTS, ALL OTHER","54,954.00",Year,NULL
UA000033,"SOFTWARE DEVELOPERS, APPLICATIONS","85,000.00",Year,NULL
UA000034,"COMPUTER OCCUPATIONS, ALL OTHER","60,000.00",Year,NULL
UA000035,"COMPUTER OCCUPATIONS, ALL OTHER","60,000.00",Year,NULL
UA000036,"COMPUTER OCCUPATIONS, ALL OTHER","60,000.00",Year,NULL
UA000037,"WEB DEVELOPERS","60,000.00",Year,NULL
UA000038,"COMPUTER OCCUPATIONS, ALL OTHER","65,680.00",Year,NULL
UA000039,"COMPUTER OCCUPATIONS, ALL OTHER","65,680.00",Year,NULL
UA000040,"COMPUTER OCCUPATIONS, ALL OTHER","65,680.00",Year,NULL
UA000041,"COMPUTER OCCUPATIONS, ALL OTHER","60,000.00",Year,NULL
UA000042,"MANAGEMENT ANALYSTS","135,252.00",Year,NULL
UA000043,"COMPUTER OCCUPATIONS, ALL OTHER","65,680.00",Year,NULL
UA000044,"COMPUTER OCCUPATIONS, ALL OTHER","65,680.00",Year,NULL
UA000045,"COMPUTER OCCUPATIONS, ALL OTHER","65,680.00",Year,NULL
UA000046,"PHYSICAL THERAPISTS",30.17,Hour,NULL
UA000047,"COMPUTER OCCUPATIONS, ALL OTHER","60,000.00",Year,NULL
UA000048,"COMPUTER OCCUPATIONS, ALL OTHER","65,680.00",Year,NULL
UA000049,"COMPUTER OCCUPATIONS, ALL OTHER","65,680.00",Year,NULL
UA000050,"COMPUTER OCCUPATIONS, ALL OTHER","65,680.00",Year,NULL
UA000051,"COMPUTER OCCUPATIONS, ALL OTHER","60,000.00",Year,NULL
UA000052,"COMPUTER SYSTEMS ANALYSTS","94,500.00",Year,NULL
UA000053,"COMPUTER OCCUPATIONS, ALL OTHER","65,680.00",Year,NULL
UA000054,"COMPUTER OCCUPATIONS, ALL OTHER","65,680.00",Year,NULL
UA000055,"BIOMEDICAL ENGINEERS","76,731.00",Year,NULL
UA000056,"COMPUTER PROGRAMMERS","58,739.00",Year,NULL
UA000057,"COMPUTER OCCUPATIONS, ALL OTHER","65,680.00",Year,NULL
UA000058,"COMPUTER OCCUPATIONS, ALL OTHER","65,680.00",Year,NULL
UA000059,"COMPUTER OCCUPATIONS, ALL OTHER","65,680.00",Year,NULL
UA000060,"COMPUTER OCCUPATIONS, ALL OTHER","60,000.00",Year,NULL
UA000061,"SOFTWARE DEVELOPERS, APPLICATIONS","55,000.00",Year,NULL
UA000062,"COMPUTER OCCUPATIONS, ALL OTHER","60,000.00",Year,NULL
UA000063,"COMPUTER OCCUPATIONS, ALL OTHER","60,000.00",Year,NULL
