SeekerSkillSetId,UserAccountId,SkillSetId,SkillLevel
1,UA009942,80,I
2,UA000457,2104,II
3,UA000260,1913,III
4,UA003058,1527,II
5,UA006810,3493,I
6,UA009582,5525,II
7,UA006763,4087,III
8,UA006481,5255,II
9,UA009348,499,I
10,UA005091,3881,II
11,UA001264,1314,III
12,UA006642,5927,II
13,UA008719,3255,I
14,UA009334,3718,II
15,UA008832,4437,III
16,UA008937,3869,II
17,UA003203,3329,I
18,UA004414,5543,II
19,UA008299,5269,III
20,UA005979,63,II
21,UA009986,3334,I
22,UA009157,357,II
23,UA009018,2922,III
24,UA002522,1050,II
25,UA004885,2911,I
26,UA005227,5501,II
27,UA003234,1654,III
28,UA009809,5687,II
29,UA005244,1015,I
30,UA006728,5950,II
31,UA005202,2663,III
32,UA006608,1792,II
33,UA003170,596,I
34,UA006900,2031,II
35,UA006008,1431,III
36,UA007015,2928,II
37,UA004542,4878,I
38,UA005595,5343,II
39,UA000329,5803,III
40,UA009650,222,II
41,UA006442,1873,I
42,UA004174,2863,II
43,UA002231,5911,III
44,UA007689,3447,II
45,UA007207,250,I
46,UA008244,45,II
47,UA001285,4435,III
48,UA010132,5622,II
49,UA009464,4264,I
50,UA006435,2733,II
51,UA006003,5777,III
52,UA002603,4902,II
53,UA007438,3504,I
54,UA006982,5838,II
55,UA005686,1294,III
56,UA007573,293,II
57,UA003355,5391,I
58,UA005960,962,II
59,UA009300,3258,III
60,UA001145,1812,II
61,UA003614,4260,I
62,UA009503,1861,II
63,UA008079,5403,III
64,UA005497,3935,II
65,UA005431,4044,I
66,UA004948,4204,II
67,UA010003,4203,III
68,UA006281,3129,II
69,UA006909,3145,I
70,UA007128,3647,II
71,UA005794,5987,III
72,UA009553,2699,II
73,UA000577,1175,I
74,UA005917,5889,II
75,UA000064,4172,III
76,UA001344,2628,II
77,UA007143,118,I
78,UA004693,3765,II
79,UA000739,670,III
80,UA007007,1555,II
81,UA005100,3079,I
82,UA006075,2480,II
83,UA000524,1381,III
84,UA003364,2812,II
85,UA007908,4777,I
86,UA003776,5609,II
87,UA009892,5130,III
88,UA001992,3907,II
89,UA005700,697,I
90,UA009240,1844,II
91,UA006021,942,III
92,UA000296,2587,II
93,UA007743,144,I
94,UA005285,4467,II
95,UA003761,2224,III
96,UA006311,3034,II
97,UA003841,1477,I
98,UA004537,2042,II
99,UA004283,5947,III
100,UA003526,5918,II
101,UA002181,120,I
102,UA000875,5388,II
103,UA009039,2058,III
104,UA004983,5706,II
105,UA002610,2792,I
106,UA003989,1992,II
107,UA006939,143,III
108,UA009807,2050,II
109,UA003543,5852,I
110,UA009123,5685,II
111,UA000470,338,III
112,UA009654,4935,II
113,UA005932,5673,I
114,UA006999,928,II
115,UA005492,4511,III
116,UA008739,3329,II
117,UA007198,4021,I
118,UA003261,5760,II
119,UA009896,3289,III
120,UA003836,5373,II
121,UA003803,2214,I
122,UA009057,1386,II
123,UA007388,1798,III
124,UA007736,2634,II
125,UA007710,1931,I
126,UA002800,4498,II
127,UA003108,3433,III
128,UA007910,2799,II
129,UA003303,859,I
130,UA007808,4003,II
131,UA003718,2605,III
132,UA001164,5489,II
133,UA002206,1427,I
134,UA003619,3593,II
135,UA003660,905,III
136,UA002908,3963,II
137,UA000207,3928,I
138,UA006410,3091,II
139,UA007183,5509,III
140,UA001103,5511,II
141,UA010083,2493,I
142,UA000280,4237,II
143,UA000902,1042,III
144,UA007746,3593,II
145,UA006691,314,I
146,UA000250,776,II
147,UA001015,322,III
148,UA005343,5805,II
149,UA007341,5045,I
150,UA009837,3847,II
151,UA004003,1859,III
152,UA009051,424,II
153,UA007710,5549,I
154,UA001878,5336,II
155,UA008178,287,III
156,UA006092,2877,II
157,UA000610,725,I
158,UA003637,5946,II
159,UA001481,1669,III
160,UA007206,1656,II
161,UA007774,5002,I
162,UA006264,1043,II
163,UA001448,3185,III
164,UA001453,199,II
165,UA000118,4470,I
166,UA007961,873,II
167,UA004528,5652,III
168,UA001286,4701,II
169,UA003073,3005,I
170,UA000526,4077,II
171,UA003107,5180,III
172,UA002763,4802,II
173,UA000306,591,I
174,UA001190,2904,II
175,UA001389,4179,III
176,UA005123,5902,II
177,UA006684,3492,I
178,UA002127,1841,II
179,UA006064,3434,III
180,UA002767,5869,II
181,UA006403,5520,I
182,UA000440,5214,II
183,UA005208,2882,III
184,UA003020,4037,II
185,UA004515,2691,I
186,UA004978,1414,II
187,UA007293,5060,III
188,UA008568,2725,II
189,UA006745,3647,I
190,UA009924,1792,II
191,UA003888,4855,III
192,UA005739,4593,II
193,UA006420,2293,I
194,UA009838,105,II
195,UA000894,1910,III
196,UA008713,5887,II
197,UA008200,5841,I
198,UA009545,1825,II
199,UA005330,3252,III
200,UA009187,5982,II
201,UA000589,2365,I
202,UA002877,4180,II
203,UA006288,919,III
204,UA005878,4,II
205,UA001849,4477,I
206,UA000677,2490,II
207,UA004482,481,III
208,UA009118,5075,II
209,UA003265,1302,I
210,UA005172,5212,II
211,UA009141,3074,III
212,UA008320,4952,II
213,UA009113,2565,I
214,UA000720,360,II
215,UA009509,2130,III
216,UA008706,596,II
217,UA004657,5484,I
218,UA006801,2624,II
219,UA007545,3832,III
220,UA006250,1976,II
221,UA004932,3143,I
222,UA010063,5341,II
223,UA007991,4417,III
224,UA003364,2597,II
225,UA006573,1359,I
226,UA005768,384,II
227,UA002532,4672,III
228,UA000732,321,II
229,UA003446,5863,I
230,UA007115,4361,II
231,UA007282,1066,III
232,UA004006,736,II
233,UA007043,1998,I
234,UA001563,941,II
235,UA006735,2533,III
236,UA000263,2081,II
237,UA009154,1842,I
238,UA003985,4484,II
239,UA004908,4673,III
240,UA006643,3673,II
241,UA000275,4136,I
242,UA004122,3445,II
243,UA004338,5035,III
244,UA005105,3273,II
245,UA002082,1024,I
246,UA008792,2359,II
247,UA008332,1774,III
248,UA001121,583,II
249,UA000643,2354,I
250,UA009366,4571,II
251,UA005725,5120,III
252,UA006504,164,II
253,UA007933,948,I
254,UA006369,437,II
255,UA005670,4763,III
256,UA001443,2363,II
257,UA000517,2651,I
258,UA006836,3829,II
259,UA009358,5819,III
260,UA010066,1194,II
261,UA003733,692,I
262,UA002657,1475,II
263,UA007288,5292,III
264,UA008262,4149,II
265,UA006362,4151,I
266,UA003521,1914,II
267,UA000012,805,III
268,UA001678,3768,II
269,UA000728,5648,I
270,UA004707,152,II
271,UA009311,1480,III
272,UA007572,2307,II
273,UA004060,2709,I
274,UA004289,2109,II
275,UA006241,1943,III
276,UA010140,2695,II
277,UA002874,5743,I
278,UA009089,5359,II
279,UA003994,1108,III
280,UA004226,2996,II
281,UA005704,4957,I
282,UA004480,5207,II
283,UA009357,555,III
284,UA000759,2448,II
285,UA008009,1514,I
286,UA005725,3331,II
287,UA007649,2894,III
288,UA008142,4832,II
289,UA008631,4024,I
290,UA009617,380,II
291,UA001676,517,III
292,UA005309,5964,II
293,UA000354,3691,I
294,UA007854,1057,II
295,UA007512,976,III
296,UA003727,3867,II
297,UA007760,4799,I
298,UA002806,4115,II
299,UA006673,928,III
300,UA002965,4151,II
301,UA008428,235,I
302,UA001693,3465,II
303,UA002102,4546,III
304,UA000713,5343,II
305,UA009876,5834,I
