SkillSetId,SkillSetName
1,"Demand Generation"
2,"Geological Mapping"
3,CVD
4,Wills
5,CDMA2000
6,"Special Events Coordination"
7,"Black Belt"
8,MCSA
9,"OAS Gold"
10,Www
11,"Mobile Marketing"
12,Non-fiction
13,"Black Box Testing"
14,"Aerial Cinematography"
15,"CXO level engagement"
16,"Artistic Eye"
17,XPAC
18,NCPDP
19,Oxidation
20,Erwin
21,"International Business"
22,"Numerical Simulation"
23,DLC
24,PyQt
25,WAN
26,"Media TV"
27,"XML Schema Design"
28,"FF&amp;E Specifications"
29,Nastran
30,"DITA XML"
31,CCS
32,vBulletin
33,EBSCO
34,"OO Software Development"
35,"Data Structures"
36,"Long-term Customer Relationships"
37,"Management Due Diligence"
38,Biology
39,"Tour Operators"
40,"MS Reporting Services"
41,NS-2
42,"Yin Yoga"
43,"DSE Assessments"
44,Agility
45,CVM
46,OOH
47,"Microsoft Exchange"
48,"XML Gateway"
49,"Guided Imagery"
50,Tgrid
51,"American English"
52,"Global Human Resources Management"
53,"Circuit Design"
54,"DSP BIOS"
55,UC4
56,"Mortgage Banking"
57,Djembe
58,"Hotel Booking"
59,Pharmacy
60,"Xbox One"
61,Video
62,BDMS
63,"Aircraft Systems"
64,"Online Reputation Management"
65,"European Markets"
66,"Overseas Production"
67,BDCs
68,"Universal Life"
69,"DPM 2010"
70,XML-RPC
71,GSI
72,"Functional Verification"
73,iReport
74,"Oil &amp; Gas Accounting"
75,"Equipment Installation"
76,"Mineral Exploration"
77,"Outcomes Research"
78,JavaSE
79,FP-C
80,Juvederm
81,WDF
82,"Analog Circuit Design"
83,"Email Marketing"
84,"KPI Implementation"
85,AHDL
86,"Jewish History"
87,"Website Updating"
88,EOQ
89,"Ultrasonic Welding"
90,"NPR Report Writing"
91,WLI
92,SQF
93,EBSCO
94,"Kyoto Protocol"
95,"Play by Play"
96,Fragrance
97,"Powder X-ray Diffraction"
98,SnapMirror
99,FQHC
100,FBD
101,GPS
102,LSAT
103,"Hardware Architecture"
104,"Program Evaluation"
105,"Sanction II"
106,"GIS systems"
107,"OA Framework"
108,"MKS Integrity"
109,"Turbo C++"
110,Zendesk
111,VAS
112,GLP
113,Snow
114,Kantar
115,"DNS Server"
116,OEIC
117,"WCF Services"
118,Lucene
119,"Ticket Sales"
120,VTAM
121,"Business Objects Data Integrator"
122,"Problem Solving"
123,"Jewish History"
124,Grievances
125,WCF
126,RCSA
127,Cerner
128,IOS-XR
129,"Commercial Litigation"
130,FDCPA
131,HGV
132,Automation
133,Keyshot
134,"Cash Flow"
135,JMX
136,"Not for Profit"
137,SVG
138,"Equity Derivatives"
139,CDS
140,"Drip Irrigation"
141,NTFS
142,"Mental Health"
143,VSTO
144,RTGS
145,SFI
146,"Public Policy"
147,IFE
148,"Humanitarian Assistance"
149,Routers
150,Lyra
151,IPSec
152,Axys
153,ICP
154,PDMLink
155,DBUnit
156,Cluster
157,"Emergency Medicine"
158,Hadoop
159,JPA
160,"Video over IP"
161,NDF
162,Lyricist
163,PTFE
164,OTDR
165,"Wholesale Operations"
166,"Computer Hardware"
167,Blackberry
168,"Stand-up Comedy"
169,RFLP
170,MRAM
171,"Rent to Own"
172,"Interactive TV"
173,"IFS ERP"
174,"SSL Certificates"
175,HSEQ
176,LTD
177,Mysis
178,RDMA
179,"Mystery Shopping"
180,"Process Efficiency"
181,Nightlife
182,Nanomaterials
183,"Yacht Clubs"
184,Apache
185,Bridge
186,"SAP OM"
187,Underwriting
188,"Gigabit Ethernet"
189,"Energy Efficiency"
190,Humanitarian
191,"Regulatory Affairs"
192,"IAR Embedded Workbench"
193,Ergonomics
194,"Attendance Management"
195,DLP
196,Physics
197,"Oil Paint"
198,"Human Anatomy"
199,Tiles
200,"Guest Recovery"
201,"Sony HDV"
202,Xcalibur
203,"FCC License"
204,"Mineral Exploration"
205,"Alzheimer&#39;s Disease"
206,FF&amp;E
207,MPE
208,SFIA
209,EFTPOS
210,"Freelance Writing"
211,"Juniper Switches"
212,VOD
213,"Personnel Management"
214,QALoad
215,JCO
216,PMM
217,GNS3
218,"Music Education"
219,IFTA
220,"Game Design"
221,RRSP
222,"Outsourcing Management"
223,"First Time Home Buyers"
224,BCM
225,ASP.NET
226,Wwise
227,eGate
228,DDR2
229,WSPG
230,AACR2
231,"Rock Climbing"
232,Cytology
233,CTRS
234,"Registered Nurses"
235,NICET
236,uC/OS-II
237,P&amp;ID
238,GDI+
239,NMT
240,"MCSA Security"
241,MSBuild
242,"Focus Groups"
243,Flooring
244,"Study Abroad Programs"
245,Psychosocial
246,"HAZOP Study"
247,UED
248,Pylons
249,"Business Intelligence Tools"
250,RLC
251,GC-FID
252,TJC
253,Healing
254,WS-*
255,PPAP
256,"HW Design"
257,Vegetables
258,"Online Communications"
259,"Visual Arts"
260,Valuation
261,"Interpersonal Skills"
262,"HP Servers"
263,Logistics
264,NCARB
265,Ghosts
266,"Public Affairs"
267,"Unit Testing"
268,Zachman
269,Radar
270,"Black &amp; White"
271,Eyeliner
272,"Rehabilitation Psychology"
273,"UK Law"
274,Footwear
275,"CNN Newsource"
276,"Kaspersky Antivirus"
277,LVS
278,"TV Production"
279,"Systems Design"
280,"eBusiness Suite"
281,z/VM
282,X-ray
283,"Final Cut Pro"
284,Agrochemicals
285,PPA
286,"Flight Safety"
287,LRO
288,"Qt Creator"
289,MRP
290,"Back Office"
291,DHTML
292,"Vocal Coaching"
293,"Proposal Writing"
294,XACT
295,LDAR
296,PeopleSoft
297,TDR
298,DHTML
299,"Utility Locating"
300,GPRS
301,"IBM Rational Tools"
302,Gstreamer
303,ZoomInfo
304,"Steam Turbines"
305,CNA
306,Pharmaceutics
307,"Job Scheduling"
308,XFOIL
309,"Core FTP"
310,AC/DC
311,"Construction Drawings"
312,IPO
313,"Urban Agriculture"
314,Kickboxing
315,"3D Visualization"
316,Korean
317,"Charitable Giving"
318,ASP.NET
319,VLS
320,"RTL Verification"
321,Urban
322,PVElite
323,"Flight Safety"
324,"New Hire Orientations"
325,Toxicology
326,ODM
327,VPython
328,z/VM
329,"Process Optimization"
330,QPS
331,Kontakt
332,iWeb
333,xCAT
334,Theology
335,"Youth At Risk"
336,Lytec
337,"Agile &amp; Waterfall Methodologies"
338,Slate
339,HMS
340,ZigBee
341,"Yacht Racing"
342,Dysarthria
343,"Sustainable Design"
344,"Agile Application Development"
345,"Business Transformation"
346,"Urban Planning"
347,MD&amp;A
348,Xsan
349,NMT
350,"Amadeus GDS"
351,PVElite
352,XSL
353,"Outsourcing Management"
354,PVD
355,"Natural Resource Management"
356,"BMC Portal"
357,"Alcohol Awareness"
358,"SWIFT Payments"
359,"Offshore Drilling"
360,CPIM
361,TS2
362,TS
363,Utilization
364,UAG
365,ZFS
366,Yacc
367,Jerseys
368,KXEN
369,"PLC Allen Bradley"
370,SGE
371,Veneers
372,Kanban
373,TVCs
374,MBCI
375,"UCP 600"
376,"Civil Society"
377,SBR
378,"Online Help"
379,TCA
380,EWB
381,"Space Planning"
382,GPON
383,"Molecular Cloning"
384,NCPDP
385,HUD
386,SMED
387,TGI
388,"CSS Sprites"
389,"SDL Tridion"
390,"Sensory Evaluation"
391,"Iron Ore"
392,EEM
393,"Mobile Games"
394,PWS
395,Yiddish
396,"Windows Azure"
397,GFP
398,"Fine Dining"
399,QROPS
400,"Space Planning"
401,"Music Festivals"
402,Running
403,"International Political Economy"
404,Testing
405,PDE
406,EWB
407,"Ethernet over SDH"
408,DBI
409,Radiology
410,"Aerospace Medicine"
411,"Alcoholic Beverages"
412,JFace
413,"Passionate about work"
414,"Affirmative Action"
415,"DPM 2010"
416,MMA
417,Xeriscaping
418,"Medical Affairs"
419,Hospitality
420,Karate
421,Golf
422,QPSK
423,NCSim
424,DFT
425,NS2
426,Bartending
427,NSS
428,Drainage
429,XML-RPC
430,"IT Service Management"
431,"Home Owners"
432,OLEDB
433,"Nitrous Oxide"
434,LLBLGen
435,"HTML Scripting"
436,UGS
437,HTTPS
438,Kinect
439,OOP
440,"Working Abroad"
441,"Full-life Cycle Recruiting"
442,PGP
443,Hg
444,CNG
445,Yammer
446,"Patient Education"
447,WLAN
448,"Crisis Intervention"
449,"Project Portfolio Management"
450,"Nikon DSLR"
451,LTACH
452,"Customer Engagement"
453,"Spring Framework"
454,P&amp;ID
455,Cfengine
456,NYISO
457,NDM
458,"IEC 60601"
459,"Fluorescence Microscopy"
460,PGA
461,NCPDP
462,SSOP
463,"Animal Behavior"
464,Ownership
465,"Utility Billing"
466,"Urgent Care"
467,"Identity Management"
468,"Digital Marketing"
469,nDo
470,"Corporate Branding"
471,Bridge
472,Blender
473,"Guest Lecturing"
474,CCSP
475,LDD
476,LLQP
477,Multi-Unit
478,"SDL Trados"
479,BCLS
480,VLDB
481,NC-Verilog
482,"International Real Estate"
483,VPN
484,"Enterprise Software"
485,WinForms
486,Rail
487,"MPLS VPN"
488,"Wedding Photography"
489,VC#
490,Oxygen
491,Sales
492,"Diagnostic Ultrasound"
493,Obstetrics
494,Pediatrics
495,Hydropower
496,CXF
497,EES
498,"MSC Patran"
499,Hunting
500,"PPC Bid Management"
501,Urinalysis
502,Syslog-ng
503,"FTO analysis"
504,"Wholesale Purchasing"
505,"Home Equity Lines of Credit"
506,"RF Test"
507,Www
