UserAccountId,LastLoginDate,LastJobApplyDate,LastJobPostDate
UA000001,2018-08-24,2018-08-24,NULL
UA000002,2017-03-21,NULL,NULL
UA000003,2018-08-04,2018-08-04,NULL
UA000004,2018-08-25,2018-08-25,NULL
UA000005,2018-09-14,2018-09-14,NULL
UA000006,2018-06-08,2018-06-08,NULL
UA000007,2018-08-19,2018-08-19,NULL
UA000008,2017-04-10,NULL,NULL
UA000009,2017-09-30,NULL,NULL
UA000010,2018-07-03,2018-07-03,NULL
UA000011,2018-09-03,2018-09-03,NULL
UA000012,2017-08-08,NULL,NULL
UA000013,2017-09-18,NULL,NULL
UA000014,2017-11-26,NULL,NULL
UA000015,2018-07-03,2018-07-03,NULL
UA000016,2018-09-30,2018-09-30,NULL
UA000017,2018-07-29,2018-07-29,NULL
UA000018,2018-08-20,2018-08-20,NULL
UA000019,2017-09-06,NULL,NULL
UA000020,2018-06-08,2018-06-08,NULL
UA000021,2018-07-08,2018-07-08,NULL
UA000022,2018-08-31,2018-08-31,NULL
UA000023,2018-07-17,2018-07-17,NULL
UA000024,2017-01-29,NULL,NULL
UA000025,2018-08-30,2018-08-30,NULL
UA000026,2018-08-28,2018-08-28,NULL
UA000027,2018-06-09,2018-06-09,NULL
UA000028,2017-05-26,NULL,NULL
UA000029,2017-04-21,NULL,NULL
UA000030,2018-08-28,2018-08-28,NULL
UA000031,2018-06-28,2018-06-28,NULL
UA000032,2018-08-28,2018-08-28,NULL
UA000033,2018-06-02,2018-06-02,NULL
UA000034,2018-07-21,2018-07-21,NULL
UA000035,2018-09-27,2018-09-27,NULL
UA000036,2018-09-10,2018-09-10,NULL
UA000037,2018-08-08,2018-08-08,NULL
UA000038,2018-09-19,2018-09-19,NULL
UA000039,2017-06-02,NULL,NULL
UA000040,2017-10-09,NULL,NULL
UA000041,2018-07-09,2018-07-09,NULL
UA000042,2018-05-05,2018-05-05,NULL
UA000043,2018-05-16,2018-05-16,NULL
UA000044,2018-09-05,2018-09-05,NULL
UA000045,2018-08-26,2018-08-26,NULL
UA000046,2018-07-08,2018-07-08,NULL
UA000047,2018-08-18,2018-08-18,NULL
UA000048,2017-03-24,NULL,NULL
UA000049,2017-10-20,NULL,NULL
UA000050,2018-06-06,2018-06-06,NULL
UA000051,2018-09-22,2018-09-22,NULL
UA000052,2017-10-17,NULL,NULL
UA000053,2018-09-12,2018-09-12,NULL
UA000054,2018-08-13,2018-08-13,NULL
UA000055,2018-05-19,2018-05-19,NULL
UA000056,2017-01-30,NULL,NULL
UA000057,2018-07-29,2018-07-29,NULL
UA000058,2018-09-20,2018-09-20,NULL
UA000059,2018-09-10,2018-09-10,NULL
UA000060,2017-11-30,NULL,NULL
UA000061,2018-09-11,2018-09-11,NULL
UA000062,2018-07-03,2018-07-03,NULL
UA000063,2018-09-24,2018-09-24,NULL
UA000064,2018-06-24,2018-06-24,NULL
UA000065,2018-09-03,2018-09-03,NULL
UA000066,2018-09-23,2018-09-23,NULL
UA000067,2018-09-05,2018-09-05,NULL
UA000068,2018-09-23,2018-09-23,NULL
UA000069,2018-06-06,2018-06-06,NULL
UA000070,2018-08-07,2018-08-07,NULL
UA000071,2018-07-02,2018-07-02,NULL
UA000072,2017-11-23,NULL,NULL
UA000073,2018-08-18,2018-08-18,NULL
UA000074,2018-07-16,2018-07-16,NULL
UA000075,2018-07-07,2018-07-07,NULL
UA000076,2018-07-23,2018-07-23,NULL
UA000077,2018-09-17,2018-09-17,NULL
UA000078,2018-09-23,2018-09-23,NULL
UA000079,2018-08-31,2018-08-31,NULL
UA000080,2018-07-29,2018-07-29,NULL
UA000081,2018-08-21,2018-08-21,NULL
UA000082,2018-09-09,2018-09-09,NULL
UA000083,2018-06-29,2018-06-29,NULL
UA000084,2018-09-24,2018-09-24,NULL
UA000085,2018-09-24,2018-09-24,NULL
UA000086,2018-08-20,2018-08-20,NULL
UA000087,2018-05-11,2018-05-11,NULL
UA000088,2017-02-15,NULL,NULL
UA000089,2018-07-18,2018-07-18,NULL
UA000090,2018-07-29,2018-07-29,NULL
UA000091,2017-06-26,NULL,NULL
UA000092,2018-06-04,2018-06-04,NULL
UA000093,2017-07-16,NULL,NULL
UA000094,2018-07-12,2018-07-12,NULL
UA000095,2018-08-25,2018-08-25,NULL
UA000096,2018-06-13,2018-06-13,NULL
UA000097,2018-05-15,2018-05-15,NULL
UA000098,2018-09-21,2018-09-21,NULL
UA000099,2018-06-10,2018-06-10,NULL
UA000100,2018-09-25,2018-09-25,NULL
UA000101,2018-06-27,2018-06-27,NULL
UA000102,2018-09-24,2018-09-24,NULL
UA000103,2018-07-21,2018-07-21,NULL
UA000104,2017-03-29,NULL,NULL
UA000105,2018-07-07,2018-07-07,NULL
UA000106,2018-09-09,2018-09-09,NULL
UA000107,2018-09-04,2018-09-04,NULL
UA000108,2018-06-02,2018-06-02,NULL
UA000109,2017-11-26,NULL,NULL
UA000110,2018-05-19,2018-05-19,NULL
UA000111,2018-07-24,2018-07-24,NULL
UA000112,2018-08-09,2018-08-09,NULL
UA000113,2017-08-16,NULL,NULL
UA000114,2018-07-20,2018-07-20,NULL
UA000115,2018-07-31,2018-07-31,NULL
UA000116,2017-02-16,NULL,NULL
UA000117,2018-08-26,2018-08-26,NULL
UA000118,2018-05-24,2018-05-24,NULL
UA000119,2018-07-22,2018-07-22,NULL
UA000120,2018-08-11,2018-08-11,NULL
UA000121,2018-07-02,2018-07-02,NULL
UA000122,2018-05-11,2018-05-11,NULL
UA000123,2018-06-06,2018-06-06,NULL
UA000124,2017-02-19,NULL,NULL
UA000125,2017-06-18,NULL,NULL
UA000126,2018-08-30,2018-08-30,NULL
UA000127,2018-10-01,2018-10-01,NULL
UA000128,2017-06-08,NULL,NULL
UA000129,2018-05-29,2018-05-29,NULL
UA000130,2017-06-21,NULL,NULL
UA000131,2018-08-05,2018-08-05,NULL
UA000132,2018-09-27,2018-09-27,NULL
UA000133,2017-03-14,NULL,NULL
UA000134,2018-09-19,2018-09-19,NULL
UA000135,2018-05-17,2018-05-17,NULL
UA000136,2018-07-09,2018-07-09,NULL
UA000137,2018-07-04,2018-07-04,NULL
UA000138,2018-08-14,2018-08-14,NULL
UA000139,2018-08-31,2018-08-31,NULL
UA000140,2018-05-09,2018-05-09,NULL
UA000141,2018-07-02,2018-07-02,NULL
UA000142,2017-03-29,NULL,NULL
UA000143,2018-06-24,2018-06-24,NULL
UA000144,2017-09-24,NULL,NULL
